Order,Family,Genus,Scientific Name,Common Name,Vertical Station,Schooling Behaviour,Reference: VS,Reference: SB
Acipenseriformes,Acipenseridae,Acipenser,Acipenser fulvescens,Lake Sturgeon,demersal,non-schooling,FishBase,Dickl et al 2006
Acipenseriformes,Acipenseridae,Acipenser,Acipenser oxyrinchus,Atlantic Sturgeon,demersal,non-schooling,FishBase,Encyclopedia of Life
Cypriniformes,Cyprinidae,Alburnus,Alburnus alburnus,Bleak,benthopelagic,schooling,FishBase,Haberlehner 1988
Clupeiformes,Clupeidae,Alosa,Alosa aestivalis,Blueback Herring,pelagic,schooling,FishBase,South Carolina DNR
Clupeiformes,Clupeidae,Alosa,Alosa chrysochloris,Skipjack herring,pelagic,schooling,FishBase,Missouri Department of Conservation
Clupeiformes,Clupeidae,Alosa,Alosa pseudoharengus,Alewife,pelagic,schooling,FishBase,Massachusetts Division of Marine Fisheries
Clupeiformes,Clupeidae,Alosa,Alosa sapidissima,American Shad,pelagic,schooling,FishBase,animaldiversity.org
Perciformes,Centrarchidae,Ambloplites,Ambloplites rupestris,Rock Bass,benthopelagic,schooling,FishBase,animaldiversity.org
Siluriformes,Ictaluridae,Ameiurus,Ameiurus catus,White Catfish,demersal,NA,FishBase,NA
Siluriformes,Ictaluridae,Ameiurus,Ameiurus melas,Black Bullhead,demersal,non-schooling,FishBase,BC Conservation Data Centre
Siluriformes,Ictaluridae,Ameiurus,Ameiurus natalis,Yellow Bullhead,demersal,non-schooling,FishBase,animaldiversity.org
Siluriformes,Ictaluridae,Ameiurus,Ameiurus nebulosus,Brown Bullhead,demersal,non-schooling,FishBase,Espace Pour la Vie Montreal
Amiiformes,Amiidae,Amia,Amia calva,Bowfin ,demersal,non-schooling,FishBase,animaldiversity.org
Perciformes,Percidae,Ammocrypta,Ammocrypta clara,Western Sand Darter,demersal,non-schooling,FishBase,Swift et al 2020
Perciformes,Percidae,Ammocrypta,Ammocrypta pellucida,Eastern Sand Darter,demersal,non-schooling,FishBase,Swift et al 2020
Anguilliformes,Anguillidae,Anguilla,Anguilla rostrata,American Eel,demersal,non-schooling,FishBase,animaldiversity.org
Gasterosteiformes,Gasterosteidae,Apeltes,Apeltes quadracus,Fourspine Stickleback,benthopelagic,non-schooling,FishBase,USGS Nonindigenous Aquatic Invasive Species Database
Percopsiformes,Aphredoderidae,Aphredoderus,Aphredoderus sayanus,Pirate Perch,demersal,non-schooling,FishBase,animaldiversity.org
Acanthuriformes,Sciaenidae,Aplodinotus,Aplodinotus grunniens,Freshwater Drum,demersal,schooling,FishBase,animaldiversity.org
Atheriniformes,Atherinidae,Atherina,Atherina boyeri,Big-scale Sand Smelt,demersal,schooling,FishBase,FishBase
Gobiiformes,Gobiidae,Babka,Babka gymnotrachelus,Racer Goby,benthopelagic,NA,FishBase,NA
Gobiiformes,Gobiidae,Benthophilus,Benthophilus stellatus,Starry Goby,demersal,non-schooling,FishBase,FishBase
Cypriniformes,Leuciscidae,Campostoma,Campostoma anomalum,Central Stoneroller,benthopelagic,schooling,FishBase,Pavlov and Kasumyan 2000
Cypriniformes,Leuciscidae,Campostoma,Campostoma oligolepis,Largescale Stoneroller,benthopelagic,schooling,FishBase,Illinois DNR
Cypriniformes,Cyprinidae,Carassius,Carassius auratus,Goldfish,benthopelagic,schooling,FishBase,Magurran and Pitcher 1983
Cypriniformes,Cyprinidae,Carassius,Carassius carassius,Crucian Carp,demersal,schooling,FishBase,Malyukina 1969
Cypriniformes,Catostomidae,Carpiodes,Carpiodes cyprinus,Quillback,demersal,schooling,FishBase,Illinois DNR
Cypriniformes,Catostomidae,Catostomus,Catostomus catostomus,Longnose Sucker,demersal,non-schooling,FishBase,animaldiversity.org
Cypriniformes,Catostomidae,Catostomus,Catostomus commersonii,White Sucker,demersal,NA,FishBase,NA
Anabantiformes,Channidae,Channa,Channa argus,Northern Snakehead,benthopelagic,non-schooling,FishBase,encyclopedia.com
Cypriniformes,Leuciscidae,Chrosomus,Chrosomus eos,Northern Redbelly Dace,demersal,schooling,FishBase,Poulin 1991
Cypriniformes,Leuciscidae,Chrosomus,Chrosomus erythrogaster,Southern Redbelly Dace,demersal,schooling,FishBase,Illinois DNR
Cypriniformes,Leuciscidae,Chrosomus,Chrosomus neogaeus,Finescale Dace,demersal,schooling,FishBase,Stasiak and Cunningham 2006 
Cypriniformes,Leuciscidae,Clinostomus,Clinostomus elongatus,Redside Dace,demersal,schooling,FishBase,Redisde Dace Recovery Team 2010
Clupeiformes,Clupeidae,Clupeonella,Clupeonella cultriventris,Sea Sprat,pelagic,schooling,FishBase,FishBase
Salmoniformes,Salmonidae,Coregonus,Coregonus artedi,Lake Herring,pelagic,schooling,FishBase,Milne et al 2005
Salmoniformes,Salmonidae,Coregonus,Coregonus clupeaformis,Lake Whitefish,benthopelagic,schooling,FishBase,animaldiversity.org
Salmoniformes,Salmonidae,Coregonus,Coregonus hoyi,Bloater,pelagic,schooling,FishBase,Poulin 1991
Salmoniformes,Salmonidae,Coregonus,Coregonus kiyi,Kiyi,pelagic,non-schooling,FishBase,Poulin 1991
Salmoniformes,Salmonidae,Coregonus,Coregonus nigripinnis,Blackfin Cisco,demersal,non-schooling,FishBase,Poulin 1991
Salmoniformes,Salmonidae,Coregonus,Coregonus reighardi,Shortnose Cisco,demersal,non-schooling,FishBase,Poulin 1991
Salmoniformes,Salmonidae,Coregonus,Coregonus zenithicus,Shortjaw Cisco,demersal,non-schooling,FishBase,Poulin 1991
Scorpaeniformes,Cottidae,Cottus,Cottus bairdii,Mottled Sculpin,demersal,non-schooling,FishBase,animaldiversity.org
Scorpaeniformes,Cottidae,Cottus,Cottus cognatus,Slimy Sculpin,demersal,non-schooling,FishBase,Webb 1979
Scorpaeniformes,Cottidae,Cottus,Cottus gobio,Bullhead (cottus gobio),demersal,non-schooling,FishBase,USGS Nonindigenous Aquatic Invasive Species Database
Scorpaeniformes,Cottidae,Cottus,Cottus ricei,Spoonhead Sculpin,demersal,NA,FishBase,NA
Cypriniformes,Leuciscidae,Couesius,Couesius plumbeus,Lake Chub,demersal,schooling,FishBase,Stasiak 2006
Cypriniformes,Cyprinidae,Ctenopharyngodon,Ctenopharyngodon idella,Grass Carp,benthopelagic,schooling,FishBase,Cudmore and Mandrak 2004
Gasterosteiformes,Gasterosteidae,Culaea,Culaea inconstans,Brook Stickleback,demersal,schooling,FishBase,animaldiversity.org
