Order,Family,Genus,Scientific Name,Common Name,Maximum Total Length (cm),Body Depth (% TL),Body Shape,Aspect Ratio,Caudal Peduncle Throttling,Pectoral Fin Vertical Position,Pectoral Fin Size,Vertical Eye Position,Eye Size (%HL),Reference: MTL,Reference: BD,Reference: BS,Reference: AR,Reference: CPT,Reference: PFVP,Reference: PFS,Reference: VEP,Reference: ES
Acipenseriformes,Acipenseridae,Acipenser,Acipenser fulvescens,Lake Sturgeon,274,12.56,elongated,2.342163121,4.662817,0,0.1572513,0.429329131,7.58,FishBase,DB using photo from FishBase (n=1),FishBase,DB using photo from FishBase (n=1),FishMorph,FishMorph,FishMorph,FishMorph,DB using photo from FishBase (n=1)
Acipenseriformes,Acipenseridae,Acipenser,Acipenser oxyrinchus,Atlantic Sturgeon,403,10.75,elongated,1.241632653,5.149833,0,NA,0.265423929,12.7,FishBase,DB using photo from FishBase (n=1),DB,DB using photo from FishBase (n=1),FishMorph,FishMorph,FishMorph,FishMorph,DB using photo from FishBase (n=1)
Cypriniformes,Cyprinidae,Alburnus,Alburnus alburnus,Bleak,25,19.8,fusiform,1.58908,1.942322,0.2766026,0.1521917,0.559971056,24.95,FishBase,FishBase (n=2),DB,FishBase (n=2),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=2)
Clupeiformes,Clupeidae,Alosa,Alosa aestivalis,Blueback Herring,47.12,22.3,fusiform,2.89563,2.618602,0.2311674,0.1500298,0.624851795,20.5,FishBase (Converted SL to TL using equation on FishBase),FishBase (n=1),FishBase,FishBase (n=1),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=1)
Clupeiformes,Clupeidae,Alosa,Alosa chrysochloris,Skipjack herring,59.85,22.6,fusiform,3.36921,2.570927,0.1881404,0.1465985,0.652789513,19.2,FishBase (Converted SL to TL using equation on FishBase),FishBase (n=1),DB,FishBase (n=1),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=1)
Clupeiformes,Clupeidae,Alosa,Alosa pseudoharengus,Alewife,51.28,25.03,fusiform,1.83146,2.666675,0.1997911,0.1275128,0.608067173,27.9,FishBase (Converted SL to TL using equation on FishBase),FishBase (n=3),FishBase,FishBase (n=3),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=2)
Clupeiformes,Clupeidae,Alosa,Alosa sapidissima,American Shad,76,25.1,fusiform,2.30287,3.793901,0.1813679,0.1630295,0.552868003,26.2,FishBase,FishBase (n=1),FishBase,FishBase (n=1),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=1)
Perciformes,Centrarchidae,Ambloplites,Ambloplites rupestris,Rock Bass,43,33.3,short/deep,1.04705,2.313312,0.3422356,0.1966284,0.524442688,26.4,FishBase,FishBase (n=1),FishBase,FishBase (n=1),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=1)
Siluriformes,Ictaluridae,Ameiurus,Ameiurus catus,White Catfish,95,18.7,elongated,1.105,2.376083,0.2738726,0.1777031,0.510909129,14.3,FishBase,FishBase (n=1),DB,FishBase (n=1),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=1)
Siluriformes,Ictaluridae,Ameiurus,Ameiurus melas,Black Bullhead,66,28.5,elongated,1.279,2.2136,0.3894973,0.1571553,0.48507337,14,FishBase,FishBase (n=1),DB,FishBase (n=1),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=1)
Siluriformes,Ictaluridae,Ameiurus,Ameiurus natalis,Yellow Bullhead,60,15.9,elongated,0.868,1.885353,0.3009347,0.1612647,0.685748816,8,FishBase,FishBase (n=1),DB,FishBase (n=1),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=1)
Siluriformes,Ictaluridae,Ameiurus,Ameiurus nebulosus,Brown Bullhead,55,19.6,elongated,1.503,1.839311,0.347816,0.1532494,0.463754674,11.9,FishBase,FishBase (n=2),DB,FishBase (n=2),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=2)
Amiiformes,Amiidae,Amia,Amia calva,Bowfin ,109,19.45,elongated,0.973,1.364757,0.2034319,0.566364057,0.566364057,15.7,FishBase,FishBase (n=2),DB,FishBase (n=2),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=2)
Perciformes,Percidae,Ammocrypta,Ammocrypta clara,Western Sand Darter,7.1,9.8,elongated,NA,1.933788,0.4254667,0.1473782,0.425466729,28.6,FishBase,DB using photo from FishBase (n=1),DB,NA,FishMorph,FishMorph,FishMorph,FishMorph,DB using photo from FishBase (n=1)
Perciformes,Percidae,Ammocrypta,Ammocrypta pellucida,Eastern Sand Darter,8.4,11.9,elongated,NA,0.9501,0.4861252,0.2045024,0.679314721,18.6,FishBase,DB using photo from FishBase (n=1),DB,NA,FishMorph,FishMorph,FishMorph,FishMorph,DB using photo from FishBase (n=1)
Anguilliformes,Anguillidae,Anguilla,Anguilla rostrata,American Eel,152,6.8,eel-like,NA,NA,NA,NA,0.511278195,7.2,FishBase,FishBase (n=1),FishBase,NA,NA,NA,NA,DB using photo provided by TP (n=1),FishBase (n=1)
Gasterosteiformes,Gasterosteidae,Apeltes,Apeltes quadracus,Fourspine Stickleback,6.4,17.9,fusiform,1.34716,6.886308,0.5343943,0.1479389,0.509048711,29.5,FishBase,FishBase (n=1),DB,FishBase (n=1),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=1)
Percopsiformes,Aphredoderidae,Aphredoderus,Aphredoderus sayanus,Pirate Perch,14,31.5,fusiform,1.06535,2.404762,0.4096443,0.1795612,0.581351168,20.2,FishBase,FishBase (n=1),DB,FishBase (n=1),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=1)
Acanthuriformes,Sciaenidae,Aplodinotus,Aplodinotus grunniens,Freshwater Drum,95,26.9,fusiform,1.0344,2.734043,0.4109937,0.2233932,0.437381228,29.7,FishBase,FishBase (n=1),DB,FishBase (n=1),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=1)
