"Ordre","Longueur_max","Profondeur_corps","Rapport_aspect","Etroitesse_pedoncule","Position_nageoire_pectorale","Taille_nageoire_pectorale","Forme_corps","Position_oeil_vertical","Taille_oeil","Vertical_station","Comportement_banc"
"Cypriniformes",25,19.8,1.58908,1.942322,0.2766026,0.1521917,"fusiform",0.559971056,24.95,"benthopelagic","schooling"
"Perciformes",43,33.3,1.04705,2.313312,0.3422356,0.1966284,"short/deep",0.524442688,26.4,"benthopelagic","schooling"
"Cypriniformes",22,22.2,2.11111,2.452906,0.2295423,0.153619,"fusiform",0.540899385,12.4,"benthopelagic","schooling"
"Cypriniformes",22,20,0.883368,2.269096,0.1887432,0.1294095,"fusiform",0.433969409,18.6,"benthopelagic","schooling"
"Cypriniformes",48,26.27,1.94735,2.28285,0.210318,0.1805066,"fusiform",0.438711954,24.87,"benthopelagic","schooling"
"Cypriniformes",64,35.15,1.15376,1.701819,0.270875,0.1823613,"fusiform",0.524307878,19.95,"demersal","schooling"
"Cypriniformes",66,27.5,2.2835,2.748488,0.09278815,0.1917334,"fusiform",0.438339662,21.6,"demersal","schooling"
"Cypriniformes",64,14.9,1.221,2.322806,0.2185866,0.1137682,"elongated",0.484823034,13.8,"demersal","non-schooling"
"Cypriniformes",8,16.7,1.14853,1.945501,0.3170758,0.1785445,"fusiform",0.563387869,27.2,"demersal","schooling"
"Cypriniformes",9.1,21.7,3.09883,2.313126,0.2286143,0.1640363,"fusiform",0.5051697,25.8,"demersal","schooling"
"Cypriniformes",11,20.5,1.153,2.180951,0.2472318,0.1734265,"fusiform",0.537223127,28,"demersal","schooling"
"Cypriniformes",12,16.4,0.961269,2.25,0.192077,0.1735683,"fusiform",0.500070509,27,"demersal","schooling"
"Salmoniformes",57,20.1,2.73001,3.84892,0.2898195,0.1365519,"fusiform",0.522303463,21.1,"pelagic","schooling"
"Salmoniformes",100,21.7,1.80184,2.60585,0.2623742,0.197423,"fusiform",0.524754826,21.2,"benthopelagic","schooling"
"Salmoniformes",37,20.5,5.41623,2.96674,0.3162611,0.1564314,"fusiform",0.635549764,30.7,"pelagic","schooling"
"Salmoniformes",35,19.8,1.56061,3.193548,0.3214296,0.1849361,"fusiform",0.651057111,30.6,"pelagic","non-schooling"
"Salmoniformes",39,23.1,3.85951,4.315868,0.2622446,0.1788828,"fusiform",0.559089363,24.8,"demersal","non-schooling"
"Salmoniformes",40,22.1,2.93415,3.115711,0.275373,0.1240215,"fusiform",0.576071966,27,"demersal","non-schooling"
"Cypriniformes",23,18,1.2788,2.749895,0.2208398,0.181659,"fusiform",0.468754427,25.2,"demersal","schooling"
"Cypriniformes",150,22.43,1.81455,2.28158,0.2268645,0.1781119,"fusiform",0.398785288,15.63,"benthopelagic","schooling"
"Cypriniformes",9.3,25.1,1.71603,3.221513,0.2064412,0.1922501,"fusiform",0.431196217,30,"benthopelagic","schooling"
