"MaxLength","BodyDepth","AspectRatio","CaudalPeduncle","PectoralFinVertical","PectoralFinSize","VerticalEyePos","EyeSize","BodyShape"
274,12.56,2.342163121,4.662817,0,0.1572513,0.429329131,7.58,"elongated"
25,19.8,1.58908,1.942322,0.2766026,0.1521917,0.559971056,24.95,"fusiform"
47.12,22.3,2.89563,2.618602,0.2311674,0.1500298,0.624851795,20.5,"fusiform"
59.85,22.6,3.36921,2.570927,0.1881404,0.1465985,0.652789513,19.2,"fusiform"
51.28,25.03,1.83146,2.666675,0.1997911,0.1275128,0.608067173,27.9,"fusiform"
76,25.1,2.30287,3.793901,0.1813679,0.1630295,0.552868003,26.2,"fusiform"
43,33.3,1.04705,2.313312,0.3422356,0.1966284,0.524442688,26.4,"short/deep"
95,18.7,1.105,2.376083,0.2738726,0.1777031,0.510909129,14.3,"elongated"
66,28.5,1.279,2.2136,0.3894973,0.1571553,0.48507337,14,"elongated"
60,15.9,0.868,1.885353,0.3009347,0.1612647,0.685748816,8,"elongated"
55,19.6,1.503,1.839311,0.347816,0.1532494,0.463754674,11.9,"elongated"
109,19.45,0.973,1.364757,0.2034319,0.566364057,0.566364057,15.7,"elongated"
6.4,17.9,1.34716,6.886308,0.5343943,0.1479389,0.509048711,29.5,"fusiform"
14,31.5,1.06535,2.404762,0.4096443,0.1795612,0.581351168,20.2,"fusiform"
95,26.9,1.0344,2.734043,0.4109937,0.2233932,0.437381228,29.7,"fusiform"
20,16.5,1.19972,3.428571,0.7254721,0.1773881,0.725472123,43.9,"elongated"
16.2,14.8,0.521077,1.856119,0.7231503,0.2434887,0.87608807,16.7,"elongated"
6.5,23.85,1.080225,1.872340426,0.440366972,0.2,0.669724771,29.2,"elongated"
22,22.2,2.11111,2.452906,0.2295423,0.153619,0.540899385,12.4,"fusiform"
22,20,0.883368,2.269096,0.1887432,0.1294095,0.433969409,18.6,"fusiform"
48,26.27,1.94735,2.28285,0.210318,0.1805066,0.438711954,24.87,"fusiform"
64,35.15,1.15376,1.701819,0.270875,0.1823613,0.524307878,19.95,"fusiform"
66,27.5,2.2835,2.748488,0.09278815,0.1917334,0.438339662,21.6,"fusiform"
64,14.9,1.221,2.322806,0.2185866,0.1137682,0.484823034,13.8,"elongated"
65,18,1.591,2.546542,0.1712478,0.1869124,0.500010462,21.4,"elongated"
100,12.7,1.0941,2.268155,0.4075703,0.1104603,0.43519375,12.4,"elongated"
8,16.7,1.14853,1.945501,0.3170758,0.1785445,0.563387869,27.2,"fusiform"
9.1,21.7,3.09883,2.313126,0.2286143,0.1640363,0.5051697,25.8,"fusiform"
11,20.5,1.153,2.180951,0.2472318,0.1734265,0.537223127,28,"fusiform"
12,16.4,0.961269,2.25,0.192077,0.1735683,0.500070509,27,"fusiform"
14.5,18.6,2.27129,2.599453,0.2745195,0.1491564,0.686288009,15.1,"fusiform"
57,20.1,2.73001,3.84892,0.2898195,0.1365519,0.522303463,21.1,"fusiform"
100,21.7,1.80184,2.60585,0.2623742,0.197423,0.524754826,21.2,"fusiform"
37,20.5,5.41623,2.96674,0.3162611,0.1564314,0.635549764,30.7,"fusiform"
35,19.8,1.56061,3.193548,0.3214296,0.1849361,0.651057111,30.6,"fusiform"
39,23.1,3.85951,4.315868,0.2622446,0.1788828,0.559089363,24.8,"fusiform"
40,22.1,2.93415,3.115711,0.275373,0.1240215,0.576071966,27,"fusiform"
15,18,1.18233,2.676038,0.7518719,0.2987454,0.75187192,27.3,"elongated"
12.1,14.1,0.89001,1.885733,0.6147836,0.2951939,0.647497918,20.3,"elongated"
18,17.85,1.21842,2.699278,0.4973345,0.2298323,0.702836958,13.15,"fusiform"
13.4,15.3,0.899055,3.382374,0.6291683,0.2226397,0.826276596,15.9,"elongated"
23,18,1.2788,2.749895,0.2208398,0.181659,0.468754427,25.2,"fusiform"
150,22.43,1.81455,2.28158,0.2268645,0.1781119,0.398785288,15.63,"fusiform"
8.7,18.5,1.52301,5.065428,0.4090923,0.1836751,0.436867916,27.8,"fusiform"
11,21.3,2.553636364,2.811663,0.1878781,0.1627291,0.491922529,28.4,"fusiform"
9.3,25.1,1.71603,3.221513,0.2064412,0.1922501,0.431196217,30,"fusiform"
12,22,1.40446,2.716643,0.1991651,0.1713893,0.553650553,25.5,"fusiform"
16,19.5,1.69889,2.505349,0.2242704,0.1793861,0.545951868,19.1,"fusiform"
120,33.55,1.88205,2.637145,0.2580209,0.1786564,0.510936185,17.6,"fusiform"
61.9,32.3,2.22035,3.314939,0.287959,0.1804924,0.478791768,20,"fusiform"
9.5,34.5,1.42865,1.944444,0.2910827,0.2262797,0.530614596,28.1,"short/deep"
11,18.1,1.4787,2.454633,0.3581002,0.1720025,0.535546487,25.4,"fusiform"
37.6,27.6,1.54593,2.328968,0.1744617,0.2064792,0.532682945,18.7,"fusiform"
41,21.6,0.933131,2.400814,0.1354065,0.1889053,0.461644924,28.7,"fusiform"
40.82,14.75,1.054183007,2.237456,0.1557826,0.08835605,0.744244822,13,"elongated"
150,14.2,1.3903,2.459067,0.1650109,0.1062315,0.621035943,10.2,"elongated"
183,18.2,2.26922,2.723834,0.07220667,0.09117977,0.566998037,18.3,"elongated"
99,14.6,2.24816,2.947443,0.1058774,0.09352879,0.500395009,14.9,"elongated"
17,14.5,1.596,2.141548,0.5087325,0.2841153,0.594983726,21.9,"fusiform"
